# x_m, y_m, w_tr_right_m, w_tr_left_m
-6.608533, -3.267796, 1.076622, 1.076622
-6.458948, -3.255824, 1.070412, 1.070412
-6.309252, -3.264623, 1.064206, 1.064206
-6.159995, -3.248574, 1.058012, 1.058012
-6.010096, -3.240116, 1.051841, 1.051841
-5.860381, -3.229343, 1.045704, 1.045704
-5.710702, -3.221018, 1.039610, 1.039610
-5.563319, -3.193382, 1.033569, 1.033569
-5.416814, -3.163889, 1.027591, 1.027591
-5.267318, -3.151039, 1.021687, 1.021687
-5.118497, -3.131108, 1.015867, 1.015867
-4.970327, -3.107279, 1.010140, 1.010140
-4.822031, -3.084770, 1.004515, 1.004515
-4.674610, -3.058284, 0.999003, 0.999003
-4.526719, -3.035172, 0.993611, 0.993611
-4.376843, -3.026898, 0.988350, 0.988350
-4.226796, -3.028796, 0.983228, 0.983228
-4.077421, -3.018280, 0.978253, 0.978253
-3.928311, -3.000637, 0.973433, 0.973433
-3.782335, -2.966727, 0.968776, 0.968776
-3.634472, -2.941740, 0.964288, 0.964288
-3.486507, -2.916300, 0.959977, 0.959977
-3.338772, -2.889478, 0.955849, 0.955849
-3.200681, -2.831804, 0.951909, 0.951909
-3.060478, -2.778188, 0.948164, 0.948164
-2.921528, -2.721313, 0.944618, 0.944618
-2.785492, -2.657790, 0.941275, 0.941275
-2.642900, -2.611039, 0.938140, 0.938140
-2.499746, -2.565739, 0.935215, 0.935215
-2.353713, -2.531140, 0.932503, 0.932503
-2.215192, -2.473402, 0.930006, 0.930006
-2.071088, -2.431932, 0.927726, 0.927726
-1.934942, -2.368648, 0.925664, 0.925664
-1.796465, -2.310639, 0.923819, 0.923819
-1.660237, -2.247496, 0.922191, 0.922191
-1.524727, -2.183009, 0.920780, 0.920780
-1.394840, -2.107693, 0.919584, 0.919584
-1.265604, -2.031444, 0.918600, 0.918600
-1.131981, -1.963400, 0.917826, 0.917826
-1.007083, -1.880067, 0.917258, 0.917258
-0.882432, -1.796493, 0.916891, 0.916891
-0.752168, -1.721819, 0.916722, 0.916722
-0.623842, -1.644017, 0.916744, 0.916744
-0.498911, -1.561228, 0.916952, 0.916952
-0.366008, -1.491803, 0.917340, 0.917340
-0.241364, -1.408090, 0.917899, 0.917899
-0.118802, -1.321409, 0.918623, 0.918623
0.001232, -1.231323, 0.919503, 0.919503
0.126208, -1.148148, 0.920530, 0.920530
0.249165, -1.062085, 0.921695, 0.921695
0.376730, -0.982895, 0.922989, 0.922989
0.501251, -0.899204, 0.924402, 0.924402
0.621597, -0.809734, 0.925922, 0.925922
0.750418, -0.732597, 0.927539, 0.927539
0.878897, -0.654939, 0.929241, 0.929241
1.004340, -0.572424, 0.931018, 0.931018
1.131191, -0.492451, 0.932856, 0.932856
1.262134, -0.419778, 0.934744, 0.934744
1.383882, -0.331984, 0.936670, 0.936670
1.509069, -0.249106, 0.938620, 0.938620
1.634628, -0.167297, 0.940583, 0.940583
1.768457, -0.099275, 0.942544, 0.942544
1.901161, -0.029235, 0.944491, 0.944491
2.037252, 0.034071, 0.946411, 0.946411
2.173461, 0.094471, 0.948291, 0.948291
2.321340, 0.120090, 0.950118, 0.950118
2.470718, 0.132585, 0.951879, 0.951879
2.620794, 0.128496, 0.953561, 0.953561
2.770626, 0.118982, 0.955151, 0.955151
2.919646, 0.101686, 0.956636, 0.956636
3.068180, 0.080858, 0.958005, 0.958005
3.218059, 0.074582, 0.959246, 0.959246
3.367985, 0.069882, 0.960345, 0.960345
3.517076, 0.052818, 0.961293, 0.961293
3.666470, 0.042584, 0.962078, 0.962078
3.815153, 0.026643, 0.962689, 0.962689
3.963745, 0.026306, 0.963115, 0.963115
4.113558, 0.033039, 0.963348, 0.963348
4.263686, 0.031350, 0.963378, 0.963378
4.413755, 0.026527, 0.963195, 0.963195
4.560400, -0.003170, 0.962792, 0.962792
4.705445, -0.041972, 0.962162, 0.962162
4.826569, -0.128971, 0.961296, 0.961296
4.929560, -0.238019, 0.960188, 0.960188
5.004155, -0.368000, 0.958834, 0.958834
5.042165, -0.512646, 0.957227, 0.957227
5.066299, -0.660763, 0.955363, 0.955363
