# x_m, y_m, w_tr_right_m, w_tr_left_m
8.296059, 0.257721, 0.833028, 0.817018
8.395981, 0.256500, 0.831807, 0.818238
8.495909, 0.255889, 0.831196, 0.818848
8.595839, 0.255888, 0.831195, 0.818849
8.695728, 0.258103, 0.833410, 0.816634
8.795607, 0.261303, 0.836610, 0.813433
8.895510, 0.263589, 0.843849, 0.811147
8.995428, 0.265134, 0.861960, 0.809601
9.095353, 0.266112, 0.890445, 0.808623
9.195281, 0.266696, 0.892051, 0.808038
9.295210, 0.267062, 0.892416, 0.807672
9.395139, 0.267382, 0.892737, 0.807352
9.494983, 0.263289, 0.888643, 0.811444
9.594745, 0.257519, 0.882871, 0.817215
9.694399, 0.250107, 0.875456, 0.824627
9.793824, 0.240287, 0.865631, 0.834447
9.893545, 0.233849, 0.859190, 0.846586
9.993405, 0.230758, 0.856099, 0.866879
10.093332, 0.229984, 0.855325, 0.894957
10.193261, 0.229510, 0.861977, 0.895435
10.293190, 0.229511, 0.880461, 0.895438
10.393118, 0.230165, 0.905997, 0.894787
10.493037, 0.231631, 0.907462, 0.893325
10.592935, 0.234099, 0.909928, 0.890861
10.692798, 0.237736, 0.913561, 0.887227
10.792725, 0.238292, 0.914116, 0.886676
10.892654, 0.238306, 0.914131, 0.886665
10.992583, 0.237885, 0.913711, 0.887090
11.092509, 0.237028, 0.912855, 0.887950
11.192431, 0.235736, 0.911563, 0.889246
11.292345, 0.234008, 0.909836, 0.890977
11.392252, 0.231845, 0.916646, 0.893143
11.492148, 0.229246, 0.924649, 0.895744
11.592031, 0.226213, 0.941585, 0.898780
11.691901, 0.222745, 0.949195, 0.902249
11.791792, 0.220728, 0.947182, 0.904269
11.891714, 0.221857, 0.948309, 0.911049
11.991605, 0.224589, 0.951039, 0.927032
12.091533, 0.224733, 0.951182, 0.950973
12.191463, 0.224733, 0.951182, 0.950981
12.291392, 0.224733, 0.951181, 0.950988
12.391322, 0.224733, 0.951181, 0.950996
12.491213, 0.222041, 0.948493, 0.953692
12.590991, 0.216633, 0.943355, 0.959094
12.690655, 0.209359, 0.946911, 0.966357
12.790385, 0.203071, 0.961871, 0.972637
12.890262, 0.200074, 0.975724, 0.975636
12.990156, 0.201928, 0.977577, 0.973790
13.089733, 0.209954, 0.985610, 0.965814
13.188412, 0.225423, 1.001108, 0.959965
13.285273, 0.249746, 1.025512, 0.955454
13.378612, 0.285146, 1.017462, 0.949743
13.466564, 0.332369, 0.930430, 0.941511
13.547231, 0.391151, 0.848828, 0.930163
13.618737, 0.460780, 0.780485, 0.915261
13.679806, 0.539733, 0.729396, 0.897140
13.730025, 0.626014, 0.691532, 0.871650
13.769792, 0.717608, 0.677966, 0.835066
13.800038, 0.812795, 0.647467, 0.792881
13.821917, 0.910270, 0.625474, 0.750298
13.836482, 1.009116, 0.610871, 0.703292
13.844905, 1.108676, 0.602442, 0.662163
13.848479, 1.208531, 0.598871, 0.629519
13.848444, 1.308456, 0.598907, 0.608047
13.846701, 1.408370, 0.600646, 0.600886
13.845767, 1.508293, 0.616228, 0.599957
13.847162, 1.608210, 0.644880, 0.601356
13.847911, 1.708129, 0.649374, 0.602110
13.849610, 1.808044, 0.647679, 0.603813
13.849001, 1.907953, 0.648287, 0.603208
13.845804, 2.007832, 0.651481, 0.600016
13.842578, 2.107710, 0.654703, 0.596795
13.842705, 2.207627, 0.656097, 0.596926
13.844588, 2.307538, 0.670793, 0.598813
13.847502, 2.407425, 0.685276, 0.601729
13.851271, 2.507283, 0.695058, 0.605501
13.855723, 2.607113, 0.690610, 0.609952
13.860682, 2.706920, 0.685656, 0.614910
13.865976, 2.806709, 0.680369, 0.620202
13.871430, 2.906490, 0.674921, 0.625655
13.876873, 3.006272, 0.669484, 0.631096
13.884482, 3.105905, 0.662892, 0.638698
13.890866, 3.205628, 0.661054, 0.645078
13.895258, 3.305459, 0.676138, 0.649470
13.897650, 3.405358, 0.698409, 0.651865
13.898039, 3.505284, 0.698020, 0.652259
13.896425, 3.605199, 0.699634, 0.650650
13.892809, 3.705060, 0.703250, 0.647039
13.888169, 3.804878, 0.707890, 0.642403
13.883828, 3.904710, 0.691646, 0.638066
13.884118, 4.004619, 0.672826, 0.638360
13.885823, 4.104534, 0.667150, 0.650832
13.886042, 4.204459, 0.661104, 0.676561
13.882943, 4.304329, 0.664200, 0.712448
13.874569, 4.403886, 0.672581, 0.750707
13.859551, 4.502649, 0.675668, 0.787333
13.836372, 4.599807, 0.673388, 0.827091
13.803464, 4.694093, 0.695640, 0.867665
13.758483, 4.783185, 0.742554, 0.898757
13.701301, 4.864997, 0.809910, 0.922937
13.632985, 4.937767, 0.891974, 0.943388
13.554289, 4.999104, 0.982575, 0.958851
13.467177, 5.047924, 1.027016, 0.968321
13.374838, 5.085998, 0.988820, 0.967893
13.279153, 5.114685, 0.960088, 0.967808
13.181450, 5.135519, 0.944960, 0.969923
13.082593, 5.149974, 0.936683, 0.975832
12.983123, 5.159406, 0.944057, 0.985269
12.883363, 5.165145, 0.959929, 0.991004
12.783496, 5.168660, 0.956414, 0.994381
12.683624, 5.172017, 0.953057, 0.970902
12.583747, 5.175075, 0.949999, 0.957033
12.483848, 5.177229, 0.947845, 0.952586
12.383932, 5.175944, 0.949130, 0.951298
12.284031, 5.177582, 0.947492, 0.952934
12.184185, 5.181552, 0.943521, 0.956903
12.084269, 5.183031, 0.942042, 0.958380
11.984352, 5.184244, 0.940830, 0.959591
11.884444, 5.185974, 0.924267, 0.961319
11.784617, 5.190490, 0.897536, 0.969722
11.684722, 5.192910, 0.883475, 0.986164
11.584810, 5.191465, 0.884460, 1.002486
11.485135, 5.184533, 0.891371, 1.019858
11.386183, 5.170809, 0.905028, 1.039961
11.288788, 5.148685, 0.927008, 1.060886
11.194300, 5.116409, 0.959028, 1.080480
11.104731, 5.072348, 1.002732, 1.096431
11.022707, 5.015497, 1.059270, 1.106580
10.951015, 4.946058, 1.005010, 1.108172
