# x_m, y_m, w_tr_right_m, w_tr_left_m
4.443568, -0.287177, 1.163752, 1.415476
4.538437, -0.318300, 1.132734, 1.381749
4.634810, -0.344357, 1.106553, 1.349463
4.732716, -0.363814, 1.087032, 1.313520
4.831893, -0.374976, 1.075850, 1.273601
4.931686, -0.374814, 1.076009, 1.229832
5.031445, -0.370764, 1.080050, 1.189171
5.131037, -0.363566, 1.087230, 1.152731
5.230610, -0.356087, 1.094692, 1.123731
5.330347, -0.351529, 1.099241, 1.105934
5.430158, -0.348641, 1.102124, 1.098642
5.529942, -0.344894, 1.105864, 1.094895
5.629697, -0.340462, 1.110288, 1.090463
5.729428, -0.335519, 1.115222, 1.085520
5.829143, -0.330237, 1.120494, 1.080238
5.928848, -0.324789, 1.125932, 1.079544
6.028657, -0.322568, 1.128148, 1.091243
6.128491, -0.324373, 1.126342, 1.115702
6.228300, -0.327354, 1.123360, 1.149444
6.328137, -0.329005, 1.121708, 1.189433
6.427962, -0.327166, 1.123543, 1.233157
6.527330, -0.317804, 1.132881, 1.276627
6.625444, -0.299650, 1.150964, 1.318432
6.721412, -0.272227, 1.178254, 1.355941
6.815190, -0.237994, 1.188894, 1.388791
6.907098, -0.198985, 1.211562, 1.423179
6.996833, -0.155248, 1.246706, 1.458830
7.084556, -0.107552, 1.292573, 1.496275
7.171415, -0.058297, 1.341712, 1.537705
7.257914, -0.008410, 1.391616, 1.583719
7.344574, 0.041196, 1.441360, 1.634818
7.431981, 0.089471, 1.489864, 1.691518
7.520627, 0.135418, 1.536090, 1.690059
7.611020, 0.177810, 1.578450, 1.666729
7.703629, 0.215098, 1.615536, 1.634904
7.798801, 0.245232, 1.632312, 1.604783
7.896721, 0.264263, 1.633206, 1.585760
7.996320, 0.270561, 1.627343, 1.582062
8.096165, 0.270054, 1.620782, 1.591438
8.195944, 0.266249, 1.616983, 1.610206
8.295671, 0.261219, 1.611960, 1.636046
8.395449, 0.257369, 1.608116, 1.646459
8.495291, 0.257463, 1.608211, 1.656170
8.595091, 0.260262, 1.611012, 1.669131
8.694819, 0.265273, 1.616025, 1.685746
