# x_m, y_m, w_tr_right_m, w_tr_left_m
11.283628, -3.669778, 0.609085, 0.621688
11.383368, -3.673954, 0.604908, 0.663261
11.483171, -3.672534, 0.615372, 0.711786
11.582509, -3.663053, 0.648881, 0.749983
11.680070, -3.642277, 0.686958, 0.780203
11.772059, -3.604001, 0.725003, 0.804501
11.852165, -3.545134, 0.783716, 0.817244
11.910780, -3.464958, 0.865075, 0.811703
11.944892, -3.371526, 0.927265, 0.790410
11.956028, -3.272459, 0.852150, 0.757869
11.956241, -3.172672, 0.791071, 0.719961
11.947867, -3.073235, 0.746200, 0.680037
11.931410, -2.974807, 0.691715, 0.621430
11.908046, -2.877769, 0.639511, 0.562980
11.878098, -2.782552, 0.599600, 0.502442
11.839491, -2.690521, 0.583609, 0.447594
11.796010, -2.600665, 0.558268, 0.404967
11.750277, -2.511924, 0.527992, 0.381665
11.699642, -2.425932, 0.503121, 0.370466
11.645126, -2.342327, 0.488397, 0.368758
11.585749, -2.262072, 0.499625, 0.387702
11.525149, -2.182743, 0.489598, 0.428302
11.464109, -2.103744, 0.476919, 0.442938
11.402657, -2.025071, 0.464762, 0.455135
11.342144, -1.945672, 0.451434, 0.474251
11.283060, -1.865208, 0.436355, 0.514025
11.228997, -1.781316, 0.423587, 0.539649
11.182323, -1.693139, 0.425602, 0.569097
11.144711, -1.600769, 0.440773, 0.612321
11.121062, -1.503903, 0.445090, 0.678775
11.113494, -1.404624, 0.452889, 0.691277
11.126798, -1.305909, 0.456608, 0.629957
11.157599, -1.211147, 0.448582, 0.575923
11.199637, -1.120656, 0.450625, 0.520964
11.248887, -1.033840, 0.466429, 0.488426
11.306366, -0.952268, 0.439699, 0.471353
11.368027, -0.873763, 0.420775, 0.459427
11.433380, -0.798319, 0.400972, 0.452288
11.501265, -0.725119, 0.402160, 0.422922
11.570715, -0.653408, 0.403749, 0.415801
11.639279, -0.580844, 0.427975, 0.409513
11.708522, -0.508928, 0.444222, 0.407628
11.774626, -0.434115, 0.450367, 0.401475
11.839782, -0.358476, 0.457770, 0.394064
11.903401, -0.281543, 0.467183, 0.384644
11.964519, -0.202613, 0.479796, 0.392006
12.022373, -0.121271, 0.496694, 0.397069
12.075496, -0.036763, 0.537156, 0.397828
12.128105, 0.048084, 0.575747, 0.422274
