# x_m, y_m, w_tr_right_m, w_tr_left_m
6.748079, -0.207744, 1.421168, 1.329538
6.847113, -0.220452, 1.408441, 1.342259
6.946274, -0.232104, 1.396772, 1.353922
7.045794, -0.240055, 1.388812, 1.363620
7.145597, -0.242301, 1.392659, 1.374865
7.245313, -0.237841, 1.406413, 1.386598
7.344351, -0.225556, 1.431686, 1.397616
7.441813, -0.204180, 1.471831, 1.406505
7.536378, -0.172396, 1.433308, 1.411656
7.626243, -0.129100, 1.353539, 1.411415
7.709250, -0.073791, 1.286386, 1.404384
7.783284, -0.006936, 1.215278, 1.389806
7.847747, 0.069262, 1.150379, 1.364387
7.901984, 0.153023, 1.096110, 1.331562
7.944993, 0.243073, 1.053202, 1.293235
7.977483, 0.337429, 1.020817, 1.250951
8.000496, 0.434536, 0.997874, 1.206234
8.015204, 0.533251, 0.983202, 1.160534
8.022128, 0.632797, 0.978766, 1.114663
8.021046, 0.732626, 0.992408, 1.068705
8.016357, 0.832357, 1.019173, 1.027029
8.009712, 0.931981, 1.038384, 0.991801
8.003369, 1.031624, 1.044727, 0.965951
8.000063, 1.131404, 1.048035, 0.952970
8.002353, 1.231207, 1.045746, 0.955260
8.006660, 1.330960, 1.041440, 0.959568
8.011515, 1.430687, 1.036587, 0.964424
8.016744, 1.530396, 1.035502, 0.969655
8.022174, 1.630094, 1.041753, 0.975087
8.027632, 1.729790, 1.050372, 0.980547
8.032947, 1.829495, 1.065208, 0.985864
8.037945, 1.929215, 1.060207, 0.990864
8.042454, 2.028959, 1.055696, 0.995373
8.046300, 2.128730, 1.051848, 0.999220
8.049309, 2.228530, 1.048837, 1.002229
8.051307, 2.328356, 1.046838, 1.004226
8.052120, 2.428197, 1.046024, 1.005551
8.051572, 2.528041, 1.046570, 1.006020
8.051462, 2.627877, 1.046679, 1.016316
8.056578, 2.727563, 1.047410, 1.041202
8.064561, 2.827089, 1.054762, 1.077472
8.071277, 2.926705, 1.072647, 1.120363
8.074321, 3.026494, 1.074202, 1.167070
8.071615, 3.126284, 1.076902, 1.215323
8.061520, 3.225591, 1.086974, 1.263379
8.042996, 3.323673, 1.105441, 1.310047
8.015627, 3.419665, 1.132710, 1.354647
7.979636, 3.512764, 1.168572, 1.397019
7.936000, 3.602528, 1.212100, 1.437701
7.885864, 3.688834, 1.265668, 1.477449
7.831140, 3.772340, 1.328771, 1.517944
7.772084, 3.852842, 1.399869, 1.555509
7.709934, 3.930965, 1.475056, 1.592976
7.644153, 4.006076, 1.553582, 1.631437
7.576216, 4.079231, 1.621870, 1.672368
7.505199, 4.149404, 1.693066, 1.714334
7.432729, 4.218087, 1.765888, 1.759143
7.359805, 4.286287, 1.838312, 1.807791
7.285927, 4.353444, 1.912267, 1.859339
7.210329, 4.418661, 1.988242, 1.912565
7.134571, 4.483699, 2.063529, 1.969225
7.059172, 4.549152, 2.139056, 2.029650
6.982896, 4.613570, 2.215530, 2.092054
6.904239, 4.675056, 2.246969, 2.153795
6.823140, 4.733283, 2.188585, 2.212159
6.740134, 4.788760, 2.132897, 2.267357
6.655458, 4.841662, 2.079913, 2.320124
6.569562, 4.892560, 2.029038, 2.370989
6.482920, 4.942181, 1.979533, 2.334876
6.395936, 4.991200, 1.930720, 2.247184
6.309063, 5.040416, 1.881827, 2.152870
6.222550, 5.090262, 1.836408, 2.059336
6.136069, 5.140163, 1.795341, 1.966446
6.050341, 5.191344, 1.757595, 1.874869
5.966077, 5.244888, 1.722176, 1.785412
5.883919, 5.301609, 1.688273, 1.698413
5.804444, 5.362036, 1.654007, 1.612974
5.727171, 5.425239, 1.617765, 1.531324
5.652764, 5.491788, 1.582783, 1.454774
5.582507, 5.562698, 1.547687, 1.385161
5.516673, 5.637729, 1.512575, 1.318935
5.455551, 5.716636, 1.477527, 1.257505
5.400776, 5.800089, 1.441063, 1.202720
5.352120, 5.887240, 1.403932, 1.154216
5.310934, 5.978122, 1.365159, 1.106576
5.278196, 6.072417, 1.324149, 1.052046
5.253537, 6.169144, 1.281682, 1.012237
5.238338, 6.267788, 1.236827, 0.990428
5.232455, 6.367429, 1.190001, 0.984551
5.234586, 6.467230, 1.142613, 0.986682
5.242825, 6.566724, 1.096630, 0.994927
5.254893, 6.665835, 1.054508, 1.007008
5.268254, 6.764782, 1.017629, 0.995866
