# x_m, y_m, w_tr_right_m, w_tr_left_m
2.828141, -0.748857, 2.729131, 3.088942
2.928062, -0.752068, 2.745702, 3.154281
3.027993, -0.749581, 2.770998, 3.217107
3.127495, -0.740162, 2.800110, 3.276369
3.225841, -0.722473, 2.833513, 3.330812
3.321916, -0.695082, 2.876465, 3.378896
3.414325, -0.657081, 2.931802, 3.419097
3.502461, -0.610078, 2.994547, 3.450234
3.583252, -0.551375, 3.064927, 3.470710
3.654461, -0.481373, 3.146241, 3.479331
3.714435, -0.401533, 3.236011, 3.475877
3.762535, -0.314004, 3.230175, 3.461170
3.799942, -0.221352, 3.176177, 3.437590
3.826850, -0.125138, 3.134311, 3.406034
3.843606, -0.026616, 3.104923, 3.367288
3.852333, 0.072956, 3.085051, 3.323619
3.854332, 0.172901, 3.058265, 3.276326
3.849313, 0.272719, 3.041437, 3.225243
3.842283, 0.372445, 3.029812, 3.174711
3.835959, 0.472225, 3.020746, 3.127181
3.830836, 0.572072, 3.013769, 3.083249
3.828370, 0.671979, 2.998636, 3.044436
3.829923, 0.771944, 2.982165, 3.012229
3.832206, 0.871899, 2.968246, 2.983728
3.831435, 0.971875, 2.952782, 2.955379
3.834463, 1.071807, 2.932048, 2.933877
3.837146, 1.171752, 2.914821, 2.911271
3.836605, 1.271729, 2.894635, 2.886584
3.838450, 1.371675, 2.875430, 2.867523
3.841799, 1.471599, 2.856906, 2.853328
3.842897, 1.571558, 2.835423, 2.835132
3.842624, 1.671538, 2.818679, 2.814414
3.845794, 1.771466, 2.799651, 2.800530
3.846649, 1.871425, 2.778737, 2.785338
3.845863, 1.971403, 2.762906, 2.764519
3.847026, 2.071363, 2.748685, 2.749112
3.849100, 2.171321, 2.734973, 2.734309
3.847087, 2.271278, 2.720692, 2.712694
3.849447, 2.371225, 2.705681, 2.698945
3.852315, 2.471164, 2.686648, 2.684080
3.850971, 2.571132, 2.668610, 2.663547
3.851327, 2.671092, 2.652536, 2.648318
3.854760, 2.771014, 2.630999, 2.633141
3.855501, 2.870970, 2.611296, 2.615102
3.855641, 2.970931, 2.595889, 2.600186
3.857245, 3.070885, 2.575340, 2.582282
3.858049, 3.170841, 2.555976, 2.564764
3.858198, 3.270804, 2.541049, 2.550394
3.861397, 3.370733, 2.518090, 2.533112
3.863026, 3.470689, 2.498319, 2.516895
3.861788, 3.570657, 2.485262, 2.501518
3.863906, 3.670611, 2.472833, 2.482378
3.865418, 3.770565, 2.454285, 2.466544
3.867034, 3.870530, 2.427570, 2.453075
3.870573, 3.970446, 2.402841, 2.435792
3.873632, 4.070380, 2.382526, 2.420671
3.871902, 4.170338, 2.371021, 2.398562
3.869538, 4.270280, 2.360158, 2.379826
3.868527, 4.370256, 2.344277, 2.364427
3.866894, 4.470223, 2.333197, 2.345964
3.864054, 4.570157, 2.323589, 2.322683
3.861384, 4.670101, 2.305801, 2.296399
3.857473, 4.770005, 2.293473, 2.272997
3.848426, 4.869566, 2.285545, 2.248745
3.840932, 4.969264, 2.273107, 2.230253
3.834661, 5.069036, 2.263797, 2.207845
3.827323, 5.168717, 2.252970, 2.174475
3.819342, 5.268377, 2.241637, 2.143449
3.810830, 5.367995, 2.235256, 2.116177
3.802061, 5.467590, 2.224601, 2.093078
3.791124, 5.566956, 2.216892, 2.072401
3.782397, 5.666555, 2.211453, 2.047770
3.777433, 5.766406, 2.206757, 2.015387
3.771324, 5.866183, 2.196858, 1.986406
3.762334, 5.965758, 2.192249, 1.959283
3.752819, 6.065285, 2.188568, 1.936431
3.743292, 6.164811, 2.176316, 1.918511
3.734264, 6.264384, 2.168108, 1.893386
3.727472, 6.364115, 2.159941, 1.872326
3.723164, 6.464003, 2.143140, 1.855054
3.715425, 6.563675, 2.134329, 1.839635
3.706585, 6.663264, 2.126981, 1.828456
3.697551, 6.762836, 2.115517, 1.822505
3.688834, 6.862436, 2.108416, 1.822349
3.680951, 6.962105, 2.099934, 1.828503
3.676882, 7.061994, 2.084199, 1.843846
3.669784, 7.161712, 2.076196, 1.859726
3.661251, 7.261328, 2.074429, 1.876206
3.652256, 7.360903, 2.071417, 1.897366
3.643310, 7.460483, 2.052383, 1.923544
3.637345, 7.560278, 2.035122, 1.956102
3.633902, 7.660194, 2.020151, 1.992287
3.629325, 7.760068, 2.011178, 2.031721
3.624988, 7.859953, 2.004912, 2.074770
3.621181, 7.959861, 1.990851, 2.118848
3.615903, 8.059699, 1.983212, 2.165360
3.607718, 8.159336, 1.979822, 2.212893
